50;https://virsikirja.fi/virsi-50-jumalaa-kiittaa-sieluni/;Jumalaa kiittää sieluni;32229;32755
51;https://virsikirja.fi/virsi-51-kaikki-ilon-lahteet-puhkeavat/;Kaikki ilon lähteet puhkeavat;32756;33283
52;https://virsikirja.fi/virsi-52-maria-herran-aiti/;Maria, Herran äiti;33284;33963
53;https://virsikirja.fi/virsi-53-nuori-neitsyt-maria/;Nuori neitsyt Maria;33964;34301
54;https://virsikirja.fi/virsi-54-kaykaamme-nyt-jerusalemiin/;Käykäämme nyt Jerusalemiin;34302;34674
55;https://virsikirja.fi/virsi-55-jai-taakse-vuori-kirkastuksen/;Jäi taakse vuori kirkastuksen;34675;35475
56;https://virsikirja.fi/virsi-56-tutkimaan-oi-jeesus-auta/;Tutkimaan, oi Jeesus, auta;35476;36693
57;https://virsikirja.fi/virsi-57-jeesus-olet-elamani/;Jeesus, olet elämäni;36694;37917
58;https://virsikirja.fi/virsi-58-kas-karitsata-jumalan/;Kas Karitsata Jumalan!;37918;39296
59;https://virsikirja.fi/virsi-59-leipaa-pelloilta-maan/;Leipää pelloilta maan;39297;39679
60;https://virsikirja.fi/virsi-60-soi-kunnia-ja-kiitos/;Soi kunnia ja kiitos;39680;40107
61;https://virsikirja.fi/virsi-61-ken-tahtoo-kayda-herran-askelissa/;Ken tahtoo käydä Herran askelissa;40108;40719
62;https://virsikirja.fi/virsi-62-sinua-jeesus-piinattiin/;Sinua, Jeesus, piinattiin;40720;42411
63;https://virsikirja.fi/virsi-63-oi-rakkain-jeesukseni/;Oi rakkain Jeesukseni;42412;43236
64;https://virsikirja.fi/virsi-64-nyt-paasi-verta-vuotaa/;Nyt pääsi verta vuotaa;43237;43675
65;https://virsikirja.fi/virsi-65-oi-jumalan-karitsa/;Oi Jumalan Karitsa;43676;44048
66;https://virsikirja.fi/virsi-66-jeesusta-nyt-golgatalle/;Jeesusta nyt Golgatalle;44049;45228
67;https://virsikirja.fi/virsi-67-tulkaa-kaikki-katsokaatte/;Tulkaa kaikki, katsokaatte;45229;45808
68;https://virsikirja.fi/virsi-68-ristinpuussa-golgatalla/;Ristinpuussa Golgatalla;45809;46612
69;https://virsikirja.fi/virsi-69-voi-tuskassaan/;Voi, tuskassaan;46613;47186
70;https://virsikirja.fi/virsi-70-kun-katson-ristin-ihmetta/;Kun katson ristin ihmettä;47187;47626
71;https://virsikirja.fi/virsi-71-laupias-jeesus-minka-rikkomuksen/;Laupias Jeesus, minkä rikkomuksen;47627;48552
72a;https://virsikirja.fi/virsi-72a-nyt-liehuu-viiri-kuninkaan/;Nyt liehuu viiri Kuninkaan;48553;49096
72b;https://virsikirja.fi/virsi-72b-nyt-liehuu-viiri-kuninkaan/;Nyt liehuu viiri Kuninkaan;49097;49640
73;https://virsikirja.fi/virsi-73-sinulle-oi-vapahtaja/;Sinulle, oi Vapahtaja;49641;50355
74;https://virsikirja.fi/virsi-74-jeesus-sinun-vaivas-kovat/;Jeesus, sinun vaivas kovat;50356;51272
75;https://virsikirja.fi/virsi-75-jeesus-turva-ainoa/;Jeesus, turva ainoa;51273;52060
76;https://virsikirja.fi/virsi-76-puoleesi-vapahtaja/;Puoleesi, Vapahtaja;52061;52690
77;https://virsikirja.fi/virsi-77-kay-yrttitarhasta-polku/;Käy yrttitarhasta polku;52691;53282
78;https://virsikirja.fi/virsi-78-vieraalla-maalla-kaukana/;Vieraalla maalla kaukana;53283;53588
79;https://virsikirja.fi/virsi-79-oi-jeesus-lahde-autuuden/;Oi Jeesus, lähde autuuden;53589;54754
80;https://virsikirja.fi/virsi-80-rakkauden-armon-lahde/;Rakkauden, armon lähde;54755;55501
81;https://virsikirja.fi/virsi-81-on-taisto-tauonnut-golgatalla/;On taisto tauonnut Golgatalla;55502;56092
82;https://virsikirja.fi/virsi-82-on-ehtoo-jo/;On ehtoo jo;56093;56519
83;https://virsikirja.fi/virsi-83-on-tyosi-jeesus-paatetty/;On työsi, Jeesus, päätetty;56520;56964
84;https://virsikirja.fi/virsi-84-nyt-se-suuri-paiva-koitti/;Nyt se suuri päivä koitti;56965;57682
85;https://virsikirja.fi/virsi-85-nyt-ylistamme-jumalaa/;Nyt ylistämme Jumalaa;57683;58213
86;https://virsikirja.fi/virsi-86-maailman-aariin-kaikukoon/;Maailman ääriin kaikukoon;58214;59220
87;https://virsikirja.fi/virsi-87-kiitosta-nyt-uhratkaamme/;Kiitosta nyt uhratkaamme;59221;60051
88;https://virsikirja.fi/virsi-88-lensi-maahan-enkeli/;Lensi maahan enkeli;60052;60496
89a;https://virsikirja.fi/virsi-89a-nyt-heraa-yosta-henkeni/;Nyt herää yöstä, henkeni;60497;61613
89b;https://virsikirja.fi/virsi-89b-nyt-heraa-yosta-henkeni/;Nyt herää yöstä, henkeni;61614;62730
90;https://virsikirja.fi/virsi-90-kristus-nousi-kuolleista/;Kristus nousi kuolleista;62731;62868
91;https://virsikirja.fi/virsi-91-paasiaisen-kirkas-aamu-koittaa/;Pääsiäisen kirkas aamu koittaa;62869;63376
92;https://virsikirja.fi/virsi-92-on-kristus-noussut-kuolleista/;On Kristus noussut kuolleista;63377;63950
93;https://virsikirja.fi/virsi-93-nouse-mieli-kaanny-kieli/;Nouse mieli, käänny kieli;63951;64891
94;https://virsikirja.fi/virsi-94-nyt-kansat-kaikki-laulakaamme/;Nyt kansat kaikki laulakaamme;64892;65334
95;https://virsikirja.fi/virsi-95-te-kristityt-nyt-juhlikaa/;Te kristityt, nyt juhlikaa;65335;66014
96;https://virsikirja.fi/virsi-96-kuoleman-kahleet-murtanut/;Kuoleman kahleet murtanut;66015;67026
97;https://virsikirja.fi/virsi-97-herralle-jeesukselle/;Herralle Jeesukselle;67027;67760
98;https://virsikirja.fi/virsi-98-jo-nousit-haudastasi/;Jo nousit haudastasi;67761;68428
99;https://virsikirja.fi/virsi-99-jeesus-elaa-herrani/;Jeesus elää, Herrani!;68429;69070
100;https://virsikirja.fi/virsi-100-sait-jeesus-tayden-voiton/;Sait, Jeesus, täyden voiton;69071;69568
101;https://virsikirja.fi/virsi-101-oi-nouse-aurinkomme/;Oi nouse, aurinkomme;69569;70243
102a;https://virsikirja.fi/virsi-102a-murhemielin-kyyneloiden/;Murhemielin, kyynelöiden;70244;71140
102b;https://virsikirja.fi/virsi-102b-murhemielin-kyyneloiden/;Murhemielin, kyynelöiden;71141;72037
103;https://virsikirja.fi/virsi-103-ah-saavu-jeesus-keskellemme/;Ah saavu, Jeesus, keskellemme;72038;72931
104;https://virsikirja.fi/virsi-104-pilvimuurista-valo-valahtaa/;Pilvimuurista valo välähtää;72932;73459
105;https://virsikirja.fi/virsi-105-aurinkomme-ylosnousi/;Aurinkomme ylösnousi;73460;74078
106;https://virsikirja.fi/virsi-106-terve-juhla-kristuksen/;Terve, juhla Kristuksen;74079;74536
107;https://virsikirja.fi/virsi-107-oi-jeesus-yksin-laupeus/;Oi Jeesus, yksin laupeus;74537;75124
